interaction_id,user_id,article_id
1,757,1
2,2714,1
3,298,1
4,1980,1
5,2385,1
6,1882,1
7,1503,1
8,1891,1
9,469,1
10,665,1
11,811,1
12,1834,1
13,1332,1
14,744,1
15,2701,1
16,1139,1
17,1347,1
18,1236,1
19,562,1
20,2232,1
21,1355,1
22,52,1
23,2939,1
24,2490,1
25,2207,1
26,2655,1
27,2774,1
28,1021,1
29,1868,1
30,806,1
31,684,1
32,354,1
33,2014,1
34,2382,1
35,2322,1
36,958,1
37,636,1
38,1369,1
39,1665,1
40,2674,1
41,2803,1
42,2589,1
43,2940,1
44,1405,1
45,149,1
46,260,1
47,1182,1
48,778,1
49,526,1
50,2908,1
51,605,1
52,2924,1
53,1955,1
54,2060,1
55,1002,1
56,1974,1
57,579,1
58,2870,1
59,910,1
60,772,1
61,2167,1
62,2007,1
63,1363,1
64,1930,1
65,494,1
66,2052,1
67,812,1
68,820,1
69,504,1
70,1004,1
71,1001,1
72,1371,1
73,590,1
74,595,1
75,1650,1
76,403,1
77,2101,1
78,2881,1
79,1290,1
80,2754,1
81,301,1
82,135,1
83,2200,1
84,2571,1
85,176,1
86,2369,1
87,1149,1
88,917,1
89,535,1
90,3038,1
91,199,1
92,2524,1
93,1952,1
94,2242,1
95,2169,1
96,2616,1
97,568,1
98,4,1
99,1075,1
100,388,1
101,576,1
102,1003,1
103,2994,1
104,2179,1
105,1837,1
106,585,1
107,239,1
108,1843,1
109,3008,1
110,2049,1
111,2165,1
112,3002,1
113,2067,1
114,126,1
115,2646,1
116,1110,1
117,16,1
118,1541,1
119,2868,1
120,776,1
121,1488,1
122,537,1
123,179,1
124,250,1
125,2218,1
126,2635,1
127,443,1
128,869,1
129,603,1
130,85,1
131,1687,1
132,2130,1
133,1978,1
134,1175,1
135,1693,1
136,287,1
137,477,1
138,2850,1
139,2323,1
140,2805,1
141,1984,1
142,1256,1
143,13,1
144,196,1
145,339,1
146,291,1
147,1069,1
148,2135,1
149,2407,1
150,1807,1
151,2285,1
152,1078,1
153,44,1
154,1019,1
155,842,1
156,2477,2
157,2319,2
158,2120,2
159,429,2
160,2464,2
161,2064,2
162,602,2
163,1979,2
164,1463,2
165,1323,2
166,348,2
167,1576,2
168,307,2
169,511,2
170,2911,2
171,856,2
172,1080,2
173,975,2
174,2746,2
175,1721,2
176,2811,2
177,904,2
178,357,2
179,1698,2
180,2444,2
181,2690,2
182,1429,2
183,2959,2
184,1686,2
185,812,2
186,118,2
187,2451,2
188,311,2
189,933,2
190,1728,2
191,135,2
192,246,2
193,2121,2
194,223,2
195,1442,2
196,1026,2
197,706,2
198,586,2
199,2328,2
200,2903,2
201,434,2
202,2925,2
203,1823,2
204,1958,2
205,2162,2
206,2146,2
207,2502,2
208,1622,2
209,981,2
210,325,2
211,2028,2
212,826,2
213,1949,2
214,1920,2
215,1271,2
216,276,2
217,1312,2
218,1070,2
219,2197,2
220,1769,2
221,1474,2
222,2944,2
223,2308,2
224,1508,2
225,1448,2
226,85,2
227,2880,2
228,968,2
229,775,2
230,3047,2
231,2192,2
232,148,2
233,194,2
234,81,2
235,1837,2
236,2856,2
237,2868,2
238,1662,2
239,1888,2
240,879,2
241,200,2
242,266,2
243,941,2
244,42,2
245,1314,2
246,2157,2
247,2443,2
248,1844,2
249,2583,2
250,1227,2
251,1538,2
252,689,2
253,2881,2
254,84,2
255,744,2
256,1116,2
257,1067,2
258,1597,2
259,2702,2
260,881,2
261,1585,2
262,1031,2
263,2509,2
264,487,2
265,318,2
266,1527,2
267,2049,2
268,2422,2
269,1806,2
270,2359,2
271,1189,2
272,103,2
273,362,2
274,998,2
275,1502,2
276,1084,2
277,1453,2
278,2066,2
279,2035,2
280,964,2
281,1050,2
282,1796,2
283,1834,2
284,954,2
285,998,3
286,2117,3
287,1976,3
288,2731,3
289,114,3
290,1281,3
291,35,3
292,2912,3
293,863,3
294,2643,3
295,1700,3
296,2090,3
297,1672,3
298,2882,3
299,1323,3
300,427,3
301,2128,3
302,2260,3
303,341,3
304,2112,3
305,1978,3
306,213,3
307,2547,3
308,1593,3
309,2774,3
310,2685,3
311,169,3
312,903,3
313,721,3
314,178,3
315,2589,3
316,2625,3
317,1039,3
318,1221,3
319,477,3
320,1611,4
321,1703,4
322,3002,4
323,998,4
324,26,4
325,127,4
326,1108,4
327,2689,4
328,2309,4
329,996,4
330,2111,4
331,3021,4
332,66,4
333,1363,4
334,24,4
335,869,4
336,2296,4
337,2416,4
338,1897,4
339,2946,4
340,1323,4
341,1350,4
342,1684,4
343,2559,5
344,1721,5
345,2130,5
346,2062,5
347,647,5
348,1801,5
349,9,5
350,2607,5
351,1865,5
352,2492,5
353,2187,5
354,2314,5
355,2602,5
356,2191,5
357,1732,5
358,1506,5
359,2079,5
360,835,5
361,2923,5
362,2155,5
363,3012,5
364,2958,5
365,2305,5
366,1862,5
367,534,5
368,1654,5
369,2335,5
370,1586,5
371,2651,5
372,339,5
373,1158,5
374,1309,5
375,337,5
376,474,5
377,2557,5
378,52,5
379,1432,5
380,2149,5
381,2422,5
382,707,5
383,1813,5
384,477,5
385,917,5
386,2719,5
387,1657,5
388,2712,5
389,696,5
390,998,5
391,1425,5
392,1451,5
393,3040,5
394,2595,5
395,2634,5
396,1687,5
397,1045,5
398,881,5
399,2434,5
400,2832,5
401,1903,5
402,1530,5
