interaction_id,user_id,article_id
1,1,111
2,1,65
3,1,192
4,1,216
5,1,112
6,2,69
7,2,29
8,2,166
9,2,58
10,2,112
11,2,138
12,3,191
13,3,27
14,3,71
15,3,83
16,3,112
17,4,89
18,4,225
19,4,206
20,4,181
21,4,112
22,5,112
23,5,145
24,5,209
25,5,26
26,5,44
27,5,169
28,5,156
29,5,162
30,5,165
31,5,109
32,5,82
33,6,147
34,6,207
35,6,112
36,6,89
37,6,56
38,6,205
39,7,151
40,7,112
41,7,130
42,7,29
43,7,88
44,7,156
45,8,137
46,8,112
47,8,174
48,8,201
49,8,56
50,8,177
51,9,22
52,9,112
53,9,69
54,9,91
55,9,25
56,9,30
57,9,82
58,9,178
59,10,112
60,10,111
61,10,57
62,10,157
63,10,86
64,10,83
65,10,138
66,11,176
67,11,182
68,11,56
69,11,66
70,11,177
71,11,152
72,12,150
73,12,194
74,12,61
75,12,84
76,12,112
77,12,227
78,13,189
79,13,52
80,13,70
81,13,188
82,13,73
83,13,112
84,14,151
85,14,82
86,14,88
87,14,112
88,14,85
89,14,53
90,15,112
91,15,177
92,15,237
93,15,59
94,15,73
95,15,226
96,16,130
97,16,29
98,16,83
99,16,169
100,16,67
101,16,206
102,16,112
103,16,53
104,17,152
105,17,29
106,17,88
107,17,112
108,17,225
109,17,137
110,17,82
111,18,82
112,18,194
113,18,177
114,18,47
115,18,112
116,18,200
117,18,144
118,18,211
119,18,77
120,18,182
121,18,50
122,18,30
123,19,82
124,19,194
125,19,112
126,19,177
127,19,142
128,19,103
129,20,53
130,20,112
131,20,175
132,20,167
133,20,72
134,20,73
135,21,178
136,21,151
137,21,112
138,21,29
139,21,206
140,22,31
141,22,112
142,22,179
143,22,158
144,22,83
145,22,138
146,23,112
147,23,105
148,23,29
149,23,83
150,24,112
151,24,61
152,24,190
153,24,77
154,24,115
155,24,138
156,25,1
157,25,207
158,25,29
159,25,148
160,25,156
161,25,112
162,26,138
163,26,7
164,26,60
165,26,126
166,26,63
167,26,111
168,26,234
169,26,112
170,26,201
171,26,206
172,27,82
173,27,151
174,27,29
175,27,149
176,27,112
177,27,83
178,27,171
179,28,60
180,28,112
181,28,170
182,28,67
183,28,46
184,28,68
185,28,69
186,28,177
187,28,238
188,28,111
189,28,70
190,28,148
191,28,129
192,28,75
193,29,69
194,29,193
195,29,176
196,29,86
197,29,112
198,29,113
199,29,8
200,29,149
201,30,56
202,30,193
203,30,70
204,30,112
205,30,78
206,30,81
207,31,84
208,31,79
209,31,112
210,31,46
211,31,77
212,32,112
213,32,18
214,32,211
215,32,139
216,32,231
217,33,151
218,33,130
219,33,77
220,33,112
221,33,166
222,33,180
223,33,229
224,33,206
225,34,79
226,34,112
227,34,166
228,34,65
229,34,149
230,34,13
231,35,219
232,35,22
233,35,82
234,35,87
235,35,191
236,35,112
237,35,84
238,35,177
239,36,178
240,36,82
241,36,163
242,36,151
243,36,29
244,36,112
245,36,78
246,36,56
247,37,138
248,37,52
249,37,175
250,37,112
251,37,211
252,37,129
253,37,74
254,37,232
255,37,104
256,38,112
257,38,194
258,38,52
259,38,59
260,38,29
261,38,172
262,39,180
263,39,175
264,39,170
265,39,167
266,39,112
267,39,58
268,39,188
269,40,53
270,40,29
271,40,191
272,40,211
273,40,112
274,40,225
275,41,1
276,41,83
277,41,200
278,41,82
279,41,151
280,41,87
281,41,112
282,41,225
283,42,178
284,42,47
285,42,82
286,42,90
287,42,169
288,43,171
289,43,95
290,43,136
291,43,190
292,43,94
293,44,226
294,44,200
295,44,194
296,44,21
297,44,29
298,44,13
299,44,112
300,44,66
301,45,64
302,45,63
303,45,111
304,45,112
305,45,73
306,46,82
307,46,193
308,46,52
309,46,84
310,46,112
311,47,86
312,47,175
313,47,107
314,47,126
315,47,149
316,47,112
317,48,171
318,48,147
319,48,200
320,48,112
321,48,21
322,48,57
323,48,222
324,48,227
325,48,85
326,49,137
327,49,177
328,49,54
329,49,86
330,49,201
331,49,82
332,50,173
333,50,53
334,50,177
335,50,87
336,50,82
337,50,211
338,50,232
339,50,112
340,50,179
341,51,83
342,51,138
343,51,150
344,51,69
345,51,187
346,51,21
347,51,72
348,51,112
349,52,77
350,52,137
351,52,37
352,52,75
353,52,130
354,52,29
355,52,89
356,52,156
357,52,112
358,52,67
359,52,183
360,52,177
361,52,180
362,52,191
363,52,82
364,52,151
365,52,153
366,52,161
367,52,18
368,52,227
369,52,181
370,52,85
371,53,187
372,53,5
373,53,112
374,53,167
375,53,4
376,53,78
377,54,47
378,54,52
379,54,84
380,54,29
381,54,55
382,54,112
383,55,175
384,55,26
385,55,92
386,55,167
387,55,15
388,55,112
389,56,66
390,56,112
391,56,100
392,56,82
393,56,88
394,56,80
395,57,171
396,57,138
